	 WCS  VHZ   885      P E 3  27.78    4.93
	 WBM  VHZ   878      P E 3  30.52    5.72
	 WRV  VHZ   912      P IU1  32.27    5.49
	 XMS  VHZ   930      P E 2  40.27    7.37
	 WMF  VHZ   906      P IU1  40.36    6.94
	 WWP  VHZ   926      P E 3  40.96    6.96
2000/08/01 07:44:36.3 L 1.5 l  33.891 -116.738  17.5 A 9158973  18  77  0  0
	 RAY  VHZ   633      P IU1  17.70    4.02
	 RAY  VHZ   633      S E 2  17.70    7.28
	 PSP  VHZ   620      P ID1  20.45    4.34
	 PSP  VHZ   620      S E 2  20.45    7.48
	 POB  VHZ   605      P ID0  28.44    5.60
	 EW2  VHZ  1011      P IU1  30.90    5.95
	 HMT  VHZ   392      P ID1  31.80    5.89
	 HMT  VHZ   392      S E 2  31.80   10.32
	 RMR  VHZ   654      P IU1  38.77    6.87
	 WIN  VHZ   895      P ID1  40.88    7.08
	 BAC  VHZ   123      P ID1  41.70    7.32
	 SIL  VHZ   711      P E 3  51.48    8.89
	 SME  VHZ   722      P E 3  57.49    9.60
	 OLY  VHZ   515      P E 3  61.96   10.56
	 TPC  VHZ   814      P E 3  67.82   11.47
	 TPC  VHZ   814      S E 3  67.82   19.67
	 ELS  VHZ   297      P E 3  69.16   11.63
	 JUL  VHZ   424      P E 2  94.42   15.81
2000/08/01 08:55:40.8 L 2.5 l  34.967 -119.556   6.0 C 9158975  25 183  0  0
	 SLC  VHZ   717      P ID0  54.38    8.75
	 SCC  VHZ   697      P E 2  56.95    9.10
	 SCC  VHZ   697      S E 2  56.95   16.67
	 SBC  HHZ  1337      P ID1  60.32    9.97
	 SYP  VHZ   783      P ID1  62.46   10.45
	 SCD  VHZ   698      P E 2  69.35   11.35
	 SCD  VHZ   698      S E 3  69.35   19.07
	 SXT  VHZ   775      P IU1  76.70   13.14
	 BMT  VHZ   150      P E 2  90.37   14.56
	 BMT  VHZ   150      S E 2  90.37   25.45
	 BTP  HHZ  7316      P E 3  95.94   15.51
	 BTP  HHE  7318      P E 2  95.94   15.58
	 WS2  VHZ  1019      P E 2  99.04   15.69
	 SLG  VHZ   682      P ID1 105.55   17.07
	 DBM  VHZ   246      P ID0 110.16   17.80
	 WJP  VHZ   901      P IU1 110.63   17.76
	 SIP  VHZ   714      P IU1 110.89   18.38
	 WHV  VHZ   892      P ID1 113.06   17.99
	 BLC  VHZ   142      P E 3 114.43   18.74
	 SND  VHZ   733      P E 2 117.16   18.85
	 LEO  VHZ   439      P E 2 121.23   19.33
	 TPO  VHZ   817      P E 2 122.76   19.73
	 WAS  VHZ   877      P IU1 125.77   20.09
	 SAD  VHZ   666      P E 2 128.25   20.32
	0299    C 65535      P IU1 11687.02   14.24
2000/08/01 10:58:01.8 L 1.8 l  34.674 -116.296   4.1 A 9158995  18 101  0  0
	 RAG  VHZ  1034      P ID0  13.37    2.55
	 RAG  VHZ  1034      S E 3  13.37    4.37
	 CDY  VHZ   184      P IU1  17.76    3.28
	 CDY  VHZ   184      S E 2  17.76    5.70
	 HDB  VHZ  1032      P IU1  30.38    5.40
	 HDB  VHZ  1032      S E 2  30.38    9.46
	 RMM  VHZ   647      P ID0  30.46    5.34
	 RMM  VHZ   647      S E 3  30.46    9.43
	 TPM  VHZ  1033      P ID0  39.85    6.86
	 GTM  VHZ   377      P IU1  42.55    7.20
	 GTM  VHZ   377      S E 2  42.55   12.64
	 RMR  VHZ   654      P IU1  57.42    9.75
	 GRP  VHZ   355      P ID1  65.16   10.83
	 GRP  VHZ   355      S E 3  65.16   18.83
	 TPC  VHZ   814      P E 3  67.16   11.62
	 RAY  VHZ   633      P ID1  85.33   14.46
	 HOD  VHZ   395      P E 2  89.61   15.06
	 BLK  VHZ   143      P E 3  96.84   16.40
2000/08/01 11:00:35.0 L 1.3 h  34.423 -116.142  12.8 C 9158996   6  93  0  0
	 TPM  VHZ  1033      P ID0   8.69    2.56
	 HDB  VHZ  1032      P IU1  13.56    3.12
	 HDB  VHZ  1032      S E 2  13.56    5.57
	 GTM  VHZ   377      P E 2  24.35    4.52
	 GTM  VHZ   377      S E 3  24.35    7.41
	 TPC  VHZ   814      P E 2  36.31    6.58
2000/08/01 11:09:29.5 L 2.5 l  34.464 -116.301   0.5 A 9159009  43 991  0  0
	 HDB  VHZ  1032      P IU0   7.14    1.55
	 HDB  VHZ  1032      S E 3   7.14    3.20
	 GTM  VHZ   377      P ID0  19.51    3.41
	 GTM  VHZ   377      S E 3  19.51    6.03
	 TPM  VHZ  1033      P ID0  23.12    4.11
	 RAG  VHZ  1034      P ID1  27.98    5.04
	 RAG  VHZ  1034      S E 2  27.98    8.84
	 RMM  VHZ   647      P IU1  35.90    6.54
	 RMR  VHZ   654      P ID0  37.74    6.65
	 HEC  HHZ  7235      P IU0  40.75    7.35
	 HEC  HHE  7237      S E 2  40.75   12.80
	 CDY  VHZ   184      P IU1  40.84    7.40
	 CDY  VHZ   184      S E 3  40.84   12.84
	 TPC  VHZ   814      P E 2  46.11    8.06
	 TPC  VHZ   814      S E 2  46.11   14.24
	 SIL  VHZ   711      P ID0  50.22    8.85
	 SIL  VHZ   711      S E 3  50.22   15.27
	 EW2  VHZ  1011      P ID0  59.06   10.11
	 SHE  VHZ  1035      P ID1  59.67   10.69
	 LUC  VHZ   466      P ID0  61.20   10.67
	 RAY  VHZ   633      P ID0  66.91   11.72
	 BTL  VHZ   170      P ID0  68.88   12.03
	 GRP  VHZ   355      P E 2  74.35   12.43
	 GRP  VHZ   355      S E 2  74.35   21.48
	 PSP  VHZ   620      P ID0  77.98   13.04
	 FRG  VHZ   330      P E 2  81.61   13.95
	 MEC  VHZ   472      P ID1  95.48   16.29
	 CTW  VHZ   237      P E 2  96.00   16.56
	 HOD  VHZ   395      P E 2  96.70   16.53
	 CSP  VHZ   235      P IU1  99.20   16.81
	 PEC  VHZ   568      P IU1 101.67   17.20
	 POB  VHZ   605      P ID1 103.75   17.47
	 HMT  VHZ   392      P E 3 106.07   17.84
	 BLK  VHZ   143      P E 2 109.53   18.72
	 RVR  VHZ   661      P E 2 112.02   18.72
	 WIN  VHZ   895      P ID1 114.09   19.02
	 SS2  VHZ   747      P ID1 114.19   19.47
	 BAC  VHZ   123      P ID1 116.70   19.42
	 SME  VHZ   722      P ID1 120.60   19.95
	 FRK  VHZ   332      P E 2 132.94   22.58
	 OLY  VHZ   515      P ID1 137.32   22.65
	 ELS  VHZ   297      P ID1 138.02   22.73
	0299    C 65535      P ID1 11385.54    7.70
2000/08/01 11:29:45.0 L 1.0 h  33.643 -116.844  13.4 B 9159000  10  56  0  0
	 POB  VHZ   605      P IU0   8.85    2.71
	 POB  VHZ   605      S E 3   8.85    4.65
	 HMT  VHZ   392      P IU0  16.46    3.55
	 HMT  VHZ   392      S E 3  16.46    6.03
	 BAC  VHZ   123      P IU0  18.44    3.84
	 BAC  VHZ   123      S E 2  18.44    6.59
	 WIN  VHZ   895      P IU1  24.35    4.66
	 WIN  VHZ   895      S E 2  24.35    8.00
